 Footprint, Order Code,Quantity
EPS_v3_Library:MOLEX_502382-0370,502382-0370,11
EPS_v3_Library:STM32L412C8T6,STM32L412C8T6,1
EPS_v3_Library:MCP1320T-29LE&slash_OT,MCP1320T-29LE/OT,1
Inductor_SMD:L_0603_1608Metric,DFE18SAN1R0MG0L,1
EPS_v3_Library:TPS61288RQQR,TPS61288RQQR,3
Resistor_SMD:R_0603_1608Metric,CR0603-FX-9313ELF,2
Resistor_SMD:R_0603_1608Metric,ERJ-PB3B4872V,3
EPS_v3_Library:IND_LQH5BPN2R7NT0L,LQH5BPN2R7NT0L,1
Capacitor_SMD:C_0402_1005Metric,GCM155R72A392KA37J,1
Resistor_SMD:R_0603_1608Metric,ERJ-PB3B3402V,1
EPS_v3_Library:PM628S-100,PM628S-6R0-RC,1
Capacitor_SMD:C_0402_1005Metric,GCM1555C1H620JA16D,2
Resistor_SMD:R_0603_1608Metric,ERJ-PB3D2052V,1
EPS_v3_Library:TPS2121RUXR,TPS2121RUXR,4
Resistor_SMD:R_0603_1608Metric,ERJ-PA3F3573V,1
EPS_v3_Library:IND_FP3-3R3-R,FP3-3R3-R,1
Resistor_SMD:R_0603_1608Metric,ERJ-PB3B1962V,1
EPS_v3_Library:TPS630242YFFR,TPS630242YFFT,1
EPS_v3_Library:TESTPOINT_5013,5013,9
Inductor_SMD:L_0805_2012Metric,LQM21PN3R3MGRD,1
EPS_v3_Library:LTC3128EFE-PBF,LTC3128IUFD#PBF,1
Resistor_SMD:R_0603_1608Metric,RN731JTTD1423B50,1
Resistor_SMD:R_0603_1608Metric,ERJ-UP3F3571V,1
Resistor_SMD:R_0603_1608Metric,MCT06030C2214FP500,1
Resistor_SMD:R_0603_1608Metric,ERJ-UP3F3013V,1
EPS_v3_Library:LTC4013EUFD-PBF,LTC4013IUFD#PBF,1
Resistor_SMD:R_0815_2038Metric,ERJ-6CWDR022V,1
EPS_v3_Library:DO-214BA-2,LSM115JE3/TR13,1
EPS_v3_Library:NR10050T2R1N,NR10050T2R1N,1
Resistor_SMD:R_0603_1608Metric,ERJ-PA3F8662V,1
Resistor_SMD:R_0603_1608Metric,RN731JTTD3361D100,1
EPS_v3_Library:DMN1019USN-7(TSOT-26-6),DMN1019UVT-7,3
EPS_v3_Library:SPV1040T,SPV1040T,9
Capacitor_SMD:C_1210_3225Metric,JMK325ABJ107MM-P,9
EPS_v3_Library:NRS5020T4R7MMGJ,NRS5020T470MMGJV,9
EPS_v3_Library:DO-214AB-2,VS-30BQ015-M3/9AT,18
Resistor_SMD:R_0805_2012Metric,RCWH080533L2FNEA,9
Capacitor_SMD:C_1210_3225Metric,CL32A157MQVNNNE,9
