Ref,Val,Package,PosX,PosY,Rot,Side
"C201","100 nF","C_0603_1608Metric",143.554775,-106.243642,0.000000,top
"C301","100 nF","C_0603_1608Metric",132.574775,-99.943642,270.000000,top
"C302","100 nF","C_0603_1608Metric",143.524775,-73.113642,270.000000,top
"C303","10 uF","C_0805_2012Metric",144.480000,-88.000000,270.000000,top
"C304","10 uF","C_0805_2012Metric",133.400000,-114.450000,270.000000,top
"C305","100 nF","C_0603_1608Metric",146.250000,-87.973642,270.000000,top
"C306","100 nF","C_0603_1608Metric",135.070000,-114.340000,270.000000,top
"C307","100 nF","C_0603_1608Metric",160.034775,-73.356142,270.000000,top
"C308","100 nF","C_0603_1608Metric",140.533275,-84.943642,0.000000,top
"C309","100 nF","C_0603_1608Metric",129.780775,-111.393642,0.000000,top
"C310","2.2 uF","C_0603_1608Metric",138.260775,-84.523642,90.000000,top
"C311","2.2 uF","C_0603_1608Metric",127.450775,-111.103642,90.000000,top
"C312","10 uF","C_0805_2012Metric",159.614775,-84.863642,270.000000,top
"C313","100 nF","C_0603_1608Metric",161.314775,-84.863642,270.000000,top
"C314","100 nF","C_0603_1608Metric",130.114775,-76.863642,270.000000,top
"C315","47 nF","C_0603_1608Metric",136.370775,-89.143642,90.000000,top
"C316","47 nF","C_0603_1608Metric",125.620775,-116.123642,90.000000,top
"C317","100 nF","C_0603_1608Metric",156.624775,-82.323642,0.000000,top
"C318","2.2 uF","C_0603_1608Metric",154.320775,-81.913642,90.000000,top
"C319","62 pF","C_0402_1005Metric",137.320775,-87.083642,180.000000,top
"C320","62 pF","C_0402_1005Metric",126.620775,-113.983642,180.000000,top
"C321","22 uF","C_0805_2012Metric",143.740775,-90.693642,0.000000,top
"C322","10 uF","C_0805_2012Metric",133.530775,-117.063642,0.000000,top
"C323","22 uF","C_0805_2012Metric",143.740775,-92.548642,0.000000,top
"C324","10 uF","C_0805_2012Metric",133.530775,-118.953642,0.000000,top
"C325","10 uF","C_0805_2012Metric",125.404775,-88.963642,0.000000,top
"C326","22 uF","C_0805_2012Metric",143.740775,-94.403642,0.000000,top
"C327","10 uF","C_0805_2012Metric",133.530775,-120.843642,0.000000,top
"C328","39 nF","C_0402_1005Metric",152.834775,-86.483642,90.000000,top
"C329","82 pF","C_0603_1608Metric",153.304775,-84.293642,180.000000,top
"C330","22 uF","C_0805_2012Metric",159.624775,-87.543642,0.000000,top
"C331","22 uF","C_0805_2012Metric",159.624775,-89.413642,0.000000,top
"C332","22 uF","C_0805_2012Metric",159.624775,-91.283642,0.000000,top
"C333","10 uF","C_0805_2012Metric",127.830775,-86.783642,270.000000,top
"C334","47 uF","C_1206_3216Metric",129.930775,-86.783642,270.000000,top
"C401","10 uF","C_0805_2012Metric",120.064882,-116.260409,0.000000,top
"C402","470 pF","C_0402_1005Metric",115.384882,-123.578697,270.000000,top
"C403","10 uF","C_0805_2012Metric",120.064882,-119.978697,0.000000,top
"C404","10 uF","C_0805_2012Metric",120.064882,-118.119553,0.000000,top
"C405","10 uF","C_0805_2012Metric",112.814882,-124.328697,270.000000,top
"C501","0.1 uF","C_0603_1608Metric",161.938273,-119.753642,0.000000,top
"C502","10 uF","C_0805_2012Metric",162.820775,-110.041142,180.000000,top
"C503","10 uF","C_0805_2012Metric",162.820775,-108.218642,180.000000,top
"C504","0.01 uF","C_0402_1005Metric",169.508273,-127.279493,180.000000,top
"C505","10 uF","C_0805_2012Metric",162.820775,-106.396142,180.000000,top
"C506","10 uF","C_0805_2012Metric",162.820775,-104.573642,180.000000,top
"C507","0.22 uF","C_0603_1608Metric",171.580000,-115.790000,270.000000,top
"C508","10 uF","C_0805_2012Metric",162.820775,-111.863642,180.000000,top
"C509","10 uF","C_0805_2012Metric",174.400775,-124.333642,90.000000,top
"C601","100 uF","C_1210_3225Metric",113.780775,-102.063642,0.000000,top
